Gene,mean_exp_c57,koff_c57,kon_c57,regime_c57,regime_v2_c57,s_c57
0610007P14Rik,1.82,356.01218176,1.2915914,unz,uz,502.19203139
0610009B22Rik,3.05,1.26663669,0.62893763,uz,uz,9.19825056
0610010F05Rik,0.35,21.23792178,0.34582821,uz,uz,21.7077245
1110004E09Rik,2.31,0.35585992,0.25737082,b,b,5.50127896
1110007C09Rik,0.88,1.42390799,0.12548747,uz,uz,10.85534996
1110008L16Rik,2.35,1.58767604,0.65948228,uz,uz,8.00533924
1110012L19Rik,1.42,73.59383047,1.11856466,unz,uz,95.16063712
1110032A03Rik,0.12,1.68525837,0.11258722,uz,uz,1.86936878
1110037F02Rik,1.86,2.04244584,0.71117614,uz,uz,7.19109453
1110038B12Rik,3.95,112.05610421,1.99450962,unz,unz,226.08397397
1110038F14Rik,2.08,11.76598333,0.83021596,uz,uz,31.49327773
1110051M20Rik,0.75,7.62897586,0.21580007,uz,uz,27.21839724
1110057K04Rik,0.91,102.17301691,0.44026527,uz,uz,211.58465022
1110058L19Rik,0.59,0.08479904,0.03355299,b,uz,2.06385286
1110059E24Rik,1.57,0.37793585,0.39038547,b,uz,3.08691778
1110059G10Rik,0.22,0.32781139,0.01913311,b,uz,4.01634088
1190005I06Rik,0.57,3.42750193,0.42570401,uz,uz,5.15991345
1300002E11Rik,1.31,16.15373371,0.90026164,uz,uz,24.84033892
1300002K09Rik,0.09,12.525637699999999,0.030301986800000003,uz,uz,39.1746597
1300017J02Rik,0.03,7.99017592,0.00558137301,uz,uz,44.1966999
1500009L16Rik,0.84,0.20297243,0.11169997,b,uz,2.36009413
1500011B03Rik,0.94,75.67870419,0.45687165,uz,uz,155.91035199
1500012F01Rik,4.8,1.09707288,1.04317954,unz,unz,9.84432626
1500015A07Rik,0.2,1.594179,0.07607681,uz,uz,4.49793613
1600012H06Rik,0.51,16.830792300000002,0.1915198,uz,uz,45.3839211
1600014C10Rik,0.21,1.6573349,0.11409673,uz,uz,3.30970361
1600020E01Rik,1.26,0.47674199,0.3192466,b,uz,3.13863157
1700001L05Rik,1.16,0.31745734,0.10064075,b,uz,4.83441773
1700017B05Rik,0.96,0.48399483,0.16452865,b,uz,3.77490474
1700020I14Rik,1.76,62.87873534,0.88775675,uz,uz,126.15291856
1700021F05Rik,2.73,1.82881027,0.62409952,uz,uz,10.73217182
1700025G04Rik,0.78,0.49270294,0.16219688,b,uz,3.14888561
1700028J19Rik,0.08,24.1803854,0.034763331200000004,uz,uz,57.644648200000006
1700030C10Rik,0.05,36.9387209,0.0102060603,uz,uz,187.329654
1700030J22Rik,0.06,15.59615521,0.06115764,uz,uz,16.60383426
1700030K09Rik,0.53,1.55532827,0.16311764,uz,uz,5.62829309
1700037H04Rik,1.02,1.79150803,0.56410314,uz,uz,4.26708405
1700061G19Rik,1.37,100.85502623,0.71453434,uz,uz,194.19458586
1700086O06Rik,0.08,0.27170564,0.02029598,b,uz,1.08879588
1700123M08Rik,0.02,11.1982873,0.00810351853,uz,uz,28.503119
1700123O20Rik,1.48,2.8862067000000002,0.61948267,uz,uz,8.3643776
1810009A15Rik,11.45,2.73491827,1.31601398,unz,unz,35.25270777
1810013L24Rik,2.22,2.67865534,0.96205535,uz,uz,8.40055325
1810014B01Rik,0.05,10.4263845,0.0197178391,uz,uz,25.8640201
1810024B03Rik,0.23,22.45246153,0.17732592,uz,uz,29.79341521
1810026J23Rik,1.35,4.18669159,0.47031496,uz,uz,13.31877442
1810030O07Rik,3.16,24.40047643,2.6560695,unz,unz,32.14931783
1810032O08Rik,0.95,2.16315741,0.70964067,uz,uz,3.83172191
1810037I17Rik,15.38,18.82059526,2.56873883,unz,unz,128.04245064
1810043G02Rik,0.28,1.13298473,0.29974570000000006,uz,uz,1.32230198
1810043H04Rik,1.64,144.5194381,0.74593891,uz,uz,319.50085302
1810058I24Rik,4.37,0.96489829,0.80183244,b,b,9.62467849
2010012O05Rik,0.63,141.41611629,0.3455948,uz,uz,256.94027988
2010107E04Rik,15.21,1.76336071,1.70513146,unz,unz,30.94515499
2010107G23Rik,0.34,8.64014921,0.18586516,uz,uz,16.35202371
2200002D01Rik,0.46,8.09421529,0.08462864,uz,uz,44.27400137
2210013O21Rik,0.82,0.39259543,0.22472620000000001,b,uz,2.26293878
2210015D19Rik,0.7,4.46120463,0.69881319,uz,uz,5.1635208
2210016F16Rik,3.83,8.06246772,1.34867409,unz,unz,26.72039518
2210016L21Rik,3.52,3.0586263,1.83379197,unz,unz,9.3900361
2210018M11Rik,0.81,2.7170827,0.1337908,uz,uz,17.22459183
2300009A05Rik,0.11,23.63754685,0.0811794,uz,uz,33.44902116
2310003H01Rik,0.53,0.91538975,0.12177789,b,uz,4.47912579
2310011J03Rik,1.52,148.18531037,0.95602645,uz,uz,236.7258642
2310022B05Rik,3.43,5.9616168,1.21945847,unz,uz,20.22521561
2310030G06Rik,0.35,7.29067187,0.25192268,uz,uz,10.62607528
2310033P09Rik,0.74,49.63236641,0.20563857,uz,uz,179.01558293
2310039H08Rik,1.93,3.83865415,0.47189616,uz,uz,17.65827506
2310040G24Rik,0.14,2.64302519,0.07297501,uz,uz,5.20780204
2310057M21Rik,0.72,0.78388475,0.18285941,b,uz,3.80608867
2310061J03Rik,0.15,1.23717967,0.06221551,uz,uz,3.18592617
2410004B18Rik,1.0,2.51492902,0.3782541,uz,uz,7.66448443
2410004N09Rik,3.19,156.47329065,1.43161009,unz,unz,352.32620377
2410004P03Rik,0.02,10.88301,0.00875731403,uz,uz,26.8318023
2410006H16Rik,6.02,3.52725908,1.37778449,unz,unz,21.43737532
2410015M20Rik,7.69,263.85131413,2.12400277,unz,unz,962.4801335000001
2510003E04Rik,0.83,121.66195334,0.76078362,uz,uz,132.93989831
2510009E07Rik,0.68,33.91539639,0.2901896,uz,uz,80.51796361
2510039O18Rik,0.61,2.59812876,0.29885313,uz,uz,5.90208166
2610001J05Rik,1.68,70.45133501,0.96337117,uz,uz,124.61098613
2610002J02Rik,0.76,1.3549438,0.40056616,uz,uz,3.34120678
2610002M06Rik,0.06,13.500001500000002,0.026530238900000003,uz,uz,32.470239899999996
2610008E11Rik,0.09,0.43357157,0.00927701,b,uz,4.11901448
2610015P09Rik,0.75,19.01492728,0.5534972,uz,uz,26.41860793
2610018G03Rik,0.05,11.00728981,0.03400323,uz,uz,17.29817985
2610035D17Rik,0.27,3.28285675,0.178144,uz,uz,5.16765614
2610301B20Rik,0.25,21.52702912,0.21950732,uz,uz,24.69234672
2610306M01Rik,0.12,21.51107003,0.0635476,uz,uz,39.506432000000004
2610318N02Rik,0.77,0.84356321,0.17921748,b,uz,4.36786093
2610507B11Rik,2.39,7.10461543,1.43815909,unz,uz,14.18008676
2610524H06Rik,1.79,1.36211374,0.49153917,uz,uz,6.75158578
2700029M09Rik,1.15,0.73812003,0.55305537,b,uz,2.6945384
2700049A03Rik,1.16,3.13210288,0.81419314,uz,uz,5.62323304
2700081O15Rik,0.81,0.09744454,0.0313729,b,b,3.32177451
2700097O09Rik,4.6,1.78457547,0.92188884,uz,uz,13.49021399
2700099C18Rik,0.6,0.87461433,0.19730654,b,uz,3.27126463
2810004N23Rik,4.02,0.5361198,0.49252093,b,uz,8.39065194
2810006K23Rik,0.66,0.31251575,0.07371058,b,uz,3.44414449
2810008D09Rik,1.64,116.68843458,1.27298449,unz,uz,151.78415205
2810025M15Rik,3.91,6.21445147,1.22758505,unz,uz,23.68688139
2810408I11Rik,0.23,0.90514165,0.03763201,b,uz,5.77953387
2810408M09Rik,1.71,0.93826879,0.41363567,b,uz,5.59824351
2810417H13Rik,0.78,4.92605226,0.22717392,uz,uz,17.79962423
2810428I15Rik,1.88,0.27676256,0.17074606,b,uz,4.93157484
2810474O19Rik,7.46,8.83527325,2.10641465,unz,unz,38.74659813
2900041M22Rik,0.14,21.47119963,0.07339306,uz,uz,41.33025619
2900060B14Rik,0.02,9.52069108,0.00933281639,uz,uz,23.519316399999997
3110002H16Rik,0.83,73.23459353,0.73589992,uz,uz,83.41370526
3110040N11Rik,0.84,2.12515476,0.5426163,uz,uz,4.12686333
3110043O21Rik,0.28,1.50962533,0.29889055,uz,uz,1.71514914
3110045C21Rik,0.1,21.64846569,0.05332022,uz,uz,38.747394899999996
3110082I17Rik,2.13,1.55662577,0.43408735,uz,uz,9.75784619
4831440E17Rik,0.17,1.43821913,0.03177466,uz,uz,7.71803086
4833439L19Rik,1.81,8.00446435,1.13719614,unz,uz,14.5416876
4930432K21Rik,0.07,2.16852461,0.04602833,uz,uz,3.14255164
4930453N24Rik,1.38,1.02094347,0.34457993,uz,uz,5.48633297
4930486L24Rik,0.21,9.30869161,0.19341979,uz,uz,10.47259395
4930515G01Rik,0.03,7.90842363,0.00564529411,uz,uz,42.6199904
4930550C14Rik,0.07,5.36926453,0.03904336,uz,uz,10.3314284
4930558J18Rik,0.29,6.26211812,0.23665339,uz,uz,7.93424429
4930579K19Rik,0.05,11.121474000000001,0.0137109132,uz,uz,43.0780109
4931414P19Rik,0.3,22.96651654,0.28048161,uz,uz,25.17154758
4931440P22Rik,0.05,15.53141349,0.03471892,uz,uz,24.00173818
4932438A13Rik,0.6,0.51175211,0.19878123,b,uz,2.16152797
4933426M11Rik,0.34,3.02554084,0.28084345,uz,uz,4.02744571
4933427D14Rik,0.32,7.85904241,0.16105103,uz,uz,16.05792258
5031439G07Rik,0.48,0.72689677,0.40480389,b,uz,1.35077213
5330417C22Rik,0.03,7.68917117,0.00562382484,uz,uz,41.7412495
5430405H02Rik,0.35,0.40927105,0.10841899,b,uz,1.67988187
5430416N02Rik,1.23,3.55881893,0.60852258,uz,uz,8.4236241
5530601H04Rik,0.73,0.12235805,0.07338886,b,uz,1.96036057
5730455P16Rik,1.37,0.33841269,0.13991502,b,uz,4.69163166
5730508B09Rik,0.17,3.07398301,0.08706939999999999,uz,uz,6.24901148
5830415F09Rik,0.39,2.50748164,0.21160017,uz,uz,4.98081055
5830418K08Rik,2.02,23.62153252,0.89503821,uz,uz,55.2960337
6330408A02Rik,0.22,20.25625736,0.12833156,uz,uz,34.41732884
6330416G13Rik,0.17,3.36454634,0.12081441,uz,uz,5.02248929
9030624J02Rik,1.91,6.28162558,1.33100782,unz,uz,10.95087455
9130401M01Rik,2.31,0.91223527,0.39265344,b,uz,7.66107417
9430008C03Rik,1.27,1.60408494,0.54844359,uz,uz,4.99943676
9430016H08Rik,2.1,0.90334727,0.49930962,b,uz,5.90916579
9430038I01Rik,0.64,87.89094375,0.42212823,uz,uz,133.93047191
9430083A17Rik,0.07,2.17071923,0.04603814,uz,uz,3.14533478
9530068E07Rik,0.46,77.52699714,0.37846971,uz,uz,94.67766952
9530091C08Rik,0.09,39.19531784,0.06275006,uz,uz,53.95141668
9630033F20Rik,6.48,1.55124268,0.77217034,uz,uz,19.48460152
9830147E19Rik,0.81,0.86120401,0.17234213,b,uz,4.85611859
9930012K11Rik,0.18,0.15205704,0.01437189,b,uz,2.11548945
9930014A18Rik,0.02,11.020132199999999,0.008466085279999999,uz,uz,27.2312874
9930021J03Rik,1.11,0.34904536,0.17588603,b,uz,3.31544716
A230046K03Rik,2.64,1.46235795,0.69770721,uz,uz,8.17119757
A230073K19Rik,0.06,8.52533058,0.0144980504,uz,uz,34.024049100000006
A330069E16Rik,0.55,8.20729659,0.08871294,uz,uz,51.70373883
A430005L14Rik,3.22,2.80014482,0.52581763,uz,uz,20.33756211
A4galt,0.47,20.28981956,0.25342414,uz,uz,38.18013967
A630089N07Rik,1.31,2.50425783,0.31485558,uz,uz,11.73401179
A830018L16Rik,0.02,9.58083584,0.00910857854,uz,uz,25.2827652
A830080D01Rik,5.95,505.19240329,4.39232737,unz,unz,690.85076473
A930005H10Rik,0.23,2.45489048,0.11873216,uz,uz,4.89684017
A930013F10Rik,0.24,1.37819964,0.08132917,uz,uz,4.25046669
AA467197,0.57,49.804525700000006,0.115634635,uz,uz,244.85602799999998
AA986860,0.64,1.45630236,0.20139742,uz,uz,5.28422945
AA987161,0.41,1.16116124,0.15002573,uz,uz,3.59977626
AI314180,0.45,0.11864256,0.058687,b,uz,1.35967719
AI413582,1.34,10.76786148,0.73504689,uz,uz,21.03807293
AI414108,0.75,0.7019986,0.12792251,b,uz,4.83620926
AI462493,3.01,0.64782813,0.36619902,b,uz,8.34824726
AI464131,0.18,9.44240949,0.05852156,uz,uz,29.26212636
AI597479,0.87,66.75404253,0.84024542,uz,uz,69.68137119
AI846148,0.57,1.01707033,0.29520032,uz,uz,2.52153933
AI854703,0.04,13.7910872,0.0174115286,uz,uz,33.1826225
AU015836,0.62,0.48783886,0.09036814,b,uz,3.98312901
AU019823,0.69,3.23134452,0.59145953,uz,uz,4.47123898
AU022252,1.26,19.67465712,0.72471771,uz,uz,35.33949528
AU040320,0.53,1.24050408,0.2192828,uz,uz,3.51571535
AU041133,0.16,0.27187962,0.01215418,b,uz,3.75371711
AW209491,0.6,74.9316995,0.5451489,uz,uz,83.59212847
AW549877,6.26,2.78041154,1.40830889,unz,unz,18.61307406
AW551984,0.05,15.13640638,0.03523161,uz,uz,22.69104542
AW554918,0.26,32.25885712,0.18080865,uz,uz,46.38067204
Aamp,11.11,2.66609207,2.09634132,unz,unz,25.24859761
Aard,0.59,0.47987161,0.16725879999999999,b,uz,2.2951798
Aars,8.26,5.516155599999999,1.79102929,unz,unz,33.69812578
Aars2,1.21,43.57929756,0.95207946,uz,uz,56.73123333
Aarsd1,3.74,0.35713827,0.46708166,b,b,6.59207416
Aasdhppt,2.74,2.20155892,0.80092562,uz,uz,10.29005965
Aatf,2.29,3.37533581,0.85602946,uz,uz,11.30171548
Abca2,0.13,1.60178081,0.04170777,uz,uz,5.14921606
Abca3,0.1,21.3502991,0.055496500000000004,uz,uz,38.83426168
Abca7,0.61,99.19008141,0.54246505,uz,uz,112.73078400000001
Abcb10,0.52,82.7283328,0.40270425,uz,uz,107.58986529
Abcb6,0.66,3.59656753,0.75299848,uz,uz,3.83097924
Abcb7,2.66,75.61934045,0.89248613,uz,uz,228.27124327
Abcb8,0.57,3.03659138,0.54686207,uz,uz,3.75680557
Abcc5,3.28,0.78348567,0.60372522,b,uz,7.53983483
Abce1,3.64,315.64270339,2.11113113,unz,unz,547.64145804
Abcf1,7.96,23.82638052,3.08318355,unz,unz,69.45614355
Abcf2,3.72,1.6365541000000001,1.12760364,unz,unz,9.11644039
Abcf3,2.37,0.77352538,0.27912909,b,b,8.95569662
Abcg2,0.81,1.92373335,0.39628985,uz,uz,4.73385953
Abhd11,1.4,7.68228764,0.8968895,uz,uz,13.41811602
Abhd12,0.47,6.5311087,0.43486869,uz,uz,7.48872743
Abhd13,0.4,15.965686600000002,0.16580389,uz,uz,38.58460754
Abhd16a,0.43,255.33302485,0.37655799,uz,uz,294.56869974
Abhd4,1.34,1.52591374,0.70036717,uz,uz,4.25871597
Abhd5,0.28,20.16616471,0.18535922,uz,uz,30.74998298
Abhd6,0.8,0.59120875,0.14072721,b,uz,4.16978751
Abhd8,0.27,1.50875236,0.06622636,uz,uz,6.4968957000000005
Abi1,2.73,7.05370654,1.18270525,unz,uz,19.03171018
Abi3,0.28,22.41567813,0.12679047,uz,uz,49.22818331
Abl2,2.06,1.9984848999999998,0.43301978,uz,uz,11.55108252
Ablim1,1.3,4.07293694,0.30065098,uz,uz,18.90262976
Abr,2.36,0.09366447,0.1266394,b,b,4.10264497
Abtb2,0.33,0.43897545,0.03039163,b,uz,5.10425383
Acaa1a,1.2,7.0706595000000005,1.04852577,unz,uz,9.31301902
Acaa2,1.33,236.33562825,0.894119,uz,uz,353.38914036
Acad11,0.63,1.5112995,0.17367097,uz,uz,6.10713978
Acad8,0.69,96.8554006,0.243148134,uz,uz,274.818173
Acad9,1.51,0.13280333,0.21604776,b,uz,2.43074515
Acadm,2.22,34.18331952,1.26005784,unz,uz,62.55500583
Acads,3.29,6.40820865,1.65974397,unz,unz,15.9961115
Acadsb,0.85,0.70442429,0.36413919,b,uz,2.48422234
Acap1,0.21,28.11265923,0.16768994,uz,uz,35.72381643
Acap2,0.49,1.10669039,0.07101677,uz,uz,8.17350815
Acat1,0.8,0.14691825,0.0793924,b,uz,2.26797252
Acbd3,1.47,0.19705733,0.08197038,b,uz,5.01758532
Acbd6,2.35,49.65444688,0.88200766,uz,uz,134.42975609
Accs,0.26,1.69641191,0.0988737,uz,uz,4.70540215
Acd,1.17,0.07121123,0.06723775,b,uz,2.41307416
Acer3,0.3,2.64366636,0.12916128,uz,uz,6.446194
Acin1,10.31,46.13523203,2.36251201,unz,unz,211.64529699
Acly,3.7,0.63697425,0.76548762,b,b,6.77198555
Aco2,2.59,132.09944621,1.61373843,unz,unz,214.7366575
Acot1,0.16,12.9281288,0.0404374827,uz,uz,52.7901063
Acot13,1.83,0.13324584,0.11527731,b,b,3.95509204
Acot7,1.22,2.49603139,0.67074621,uz,uz,5.74933228
Acot8,1.23,3.02053655,0.5068815,uz,uz,8.59340401
Acot9,3.32,122.65260534,2.382564,unz,unz,174.16768029
Acp1,0.13,12.14945148,0.07831955,uz,uz,20.12990705
Acp2,0.22,0.00822481,0.00228437,b,uz,1.00384642
Acp6,3.25,11.58957746,1.21633867,unz,uz,34.26696026
Acpp,0.08,13.74600101,0.03576773,uz,uz,32.32365104
Acsbg1,0.06,15.77800019,0.05973203,uz,uz,16.83647562
Acsf2,0.52,249.80683968,0.5066866,uz,uz,258.55616661
Acsf3,0.42,1.45585754,0.12410002,uz,uz,5.37447452
Acsl1,0.45,0.91346364,0.17955697,b,uz,2.76771408
Acsl3,1.51,58.52229934,1.24812352,unz,uz,72.36614858
Acsl5,0.57,1.17086721,0.27774949,uz,uz,2.97480514
Acsl6,0.48,60.21266413,0.47738755,uz,uz,60.57858209
Acss1,0.74,1.11498058,0.23656031,uz,uz,4.22935149
Acss2,0.15,5.94307017,0.0284235104,uz,uz,32.1460533
Actl6a,7.55,1.79723537,1.3901348999999998,unz,unz,17.31257996
Actn1,6.88,6.30569377,2.01719736,unz,unz,28.38874568
Actn2,0.03,16.53967838,0.02852823,uz,uz,18.42760228
Actn3,0.07,5.37752592,0.03905182,uz,uz,10.34674557
Actn4,8.29,204.45225078,2.51896581,unz,unz,680.87080527
Actr10,2.75,0.24251617,0.17277415,b,b,6.60141585
Actr1b,1.4,1.30261923,0.60119034,uz,uz,4.44309062
Actr2,4.45,322.5097495,4.24089499,unz,unz,342.98857724
Actr3,2.37,61.43593223,1.90661992,unz,unz,78.72291975
Actr6,1.8,9.68533212,0.46680813,uz,uz,39.04923942
Acvr1,0.17,9.04049131,0.04956875,uz,uz,31.55646563
Acvr2b,0.57,0.59543506,0.1589616,b,uz,2.72123073
Acyp1,1.4,0.34629589,0.18686139,b,uz,3.98125538
Acyp2,0.32,2.07728115,0.08691625,uz,uz,8.07477606
Adal,0.37,76.48182674,0.35533971,uz,uz,80.24942033
Adam19,1.47,23.4092022,0.95999911,uz,uz,37.21282358
Adam1a,0.03,16.17022564,0.02878476,uz,uz,18.05901458
Adam23,0.44,17.17841115,0.23995385,uz,uz,31.81446089
Adam9,0.64,3.15757286,0.46559442,uz,uz,5.01599827
Adamtsl5,0.1,5.19642676,0.00823839175,uz,uz,64.6482619
Adap1,0.88,4.93251097,0.28724054,uz,uz,15.96172423
Adar,0.84,1.30681919,0.34444793,uz,uz,4.0311289
Adat1,0.56,57.43454433,0.39793236,uz,uz,80.71920555
Adat2,3.13,2.98279503,0.56758744,uz,uz,19.5976742
Adck1,0.34,4.53021219,0.19011579,uz,uz,8.36877354
Adcy4,0.05,10.208641,0.0131523268,uz,uz,40.680432399999994
Adcy7,0.03,16.40822101,0.02851495,uz,uz,18.29355464
Add1,1.22,419.85681205,1.08561271,unz,uz,472.25849739
Adh1,0.1,23.74235969,0.09220344,uz,uz,24.71718602
Adh5,9.23,465.63368741,5.59411826,unz,unz,777.84670518
Adh7,0.06,7.80613939,0.0111172544,uz,uz,43.861075
Adhfe1,0.17,6.040390299999999,0.09394618,uz,uz,11.24526633
Adipor1,2.59,5.5369359000000005,1.540298,unz,unz,11.89558719
Adipor2,6.91,40.765262799999995,2.09775989,unz,unz,141.16364798
Adk,2.62,0.61615685,0.38442182,b,uz,6.80805213
Adnp,2.48,0.15631005,0.08566305,b,b,7.01391393
Adnp2,0.71,1.10494363,1.11768726,unz,uz,1.42050139
Adpgk,1.47,2.21653923,0.83032977,uz,uz,5.40794246
Adprhl2,1.42,0.53853196,0.42232858,b,uz,3.23547969
Adra2a,0.05,15.68803939,0.03434947,uz,uz,24.24167445
Adrb3,0.85,0.00407567,0.00304306,b,b,1.99831452
Adrbk1,0.5,2.0594059,0.25672429,uz,uz,4.52061851
Adsl,3.4,0.85270978,0.61826694,b,uz,8.07873967
Adss,3.62,2.47811038,1.9403991999999999,unz,unz,8.23450746
Aebp1,0.2,22.105021,0.0631008595,uz,uz,71.7871892
Aebp2,1.78,0.53212917,0.35016602,b,uz,4.49090622
Aen,3.21,10.18144934,0.65862945,uz,uz,52.8884402
Aes,2.12,209.94319424,1.58528572,unz,uz,282.62044731
Afap1l1,0.17,3.35934699,0.11925296,uz,uz,5.02421841
Afap1l2,0.06,2.16399072,0.04496644,uz,uz,3.1405715
Aff1,5.74,0.57439133,0.34462354,b,uz,15.30331393
Aff4,2.07,1.11956241,0.33187312,uz,uz,9.039651
Afg3l2,2.35,1.3373167,0.98710467,uz,uz,5.5396612
Aftph,0.56,2.36167127,0.60216398,uz,uz,2.74249632
Aga,0.22,23.62459008,0.19042534,uz,uz,27.89294155
Agap3,0.34,16.781064999999998,0.16235664,uz,uz,35.87649508
Agbl5,0.3,60.35477434,0.17948881,uz,uz,99.67175104
Agfg1,2.2,1.03344534,0.60400921,uz,uz,5.96083381
Aggf1,2.79,4.01247346,1.1411396,unz,uz,12.61838398
Agpat2,1.96,62.45178776,1.32968739,unz,uz,93.77905241
Agpat4,0.76,1.57479125,0.30739807,uz,uz,4.67670218
Agpat5,1.83,0.23301909,0.20073881,b,uz,3.94490696
Agpat6,1.89,30.04090589,1.29010095,unz,uz,45.91564323
Agps,1.4,1.10993734,0.87186605,uz,uz,3.17858615
Agrn,1.54,1.09090276,0.65451111,uz,uz,4.11702675
Agtrap,4.84,2.78934444,1.12287066,unz,unz,16.85424344
Ahctf1,2.49,2.47341721,0.72018301,uz,uz,11.04041789
Ahcyl1,0.47,2.1739330000000003,0.095313,uz,uz,11.11118045
Ahcyl2,0.48,2.6059855,0.43788166,uz,uz,3.35602067
Ahdc1,0.56,1.37435591,0.25426652,uz,uz,3.58531955
Ahi1,0.28,21.01822966,0.25204677,uz,uz,23.55908463
Ahnak,3.62,250.1681723,1.84237379,unz,unz,494.84421246
Ahrr,0.02,11.020132199999999,0.008466085279999999,uz,uz,27.2312874
Ahsa2,1.03,0.91960956,0.26717521,b,uz,4.58834237
Aifm3,0.3,0.81726236,0.05275946,b,uz,4.86927582
Aig1,0.59,0.70222701,0.17827958,b,uz,2.90778248
Aim2,2.68,0.11036977,0.08473912,b,b,6.17789793
Aimp1,3.11,4.01926654,1.2451704,unz,uz,13.15190097
Aimp2,3.96,0.61965809,0.6099011999999999,b,uz,7.98482342
Aip,1.09,1.6764675,0.49506863,uz,uz,4.78110282
Ak2,14.03,1.77434441,2.16757409,unz,unz,25.51920392
Ak4,1.84,176.52702623,0.6729173,uz,uz,484.80876773
Akap10,1.01,404.41960364,0.93301427,uz,uz,440.26589097
Akap12,18.24,3.86508209,3.23426113,unz,unz,40.0390701
Akap17b,1.07,1.10608159,0.23555596,uz,uz,6.10763443
Akap2,2.82,7.62511035,0.74370537,uz,uz,31.77034596
Akap8,6.04,2.45528084,1.31176879,unz,unz,17.35082205
Akap9,3.25,1.17406907,0.60284899,uz,uz,9.57668367
Akirin1,1.83,0.95398384,0.24925521,b,b,8.82994462
Akr1b8,0.42,21.90559722,0.37629702,uz,uz,24.68910196
Akr1e1,0.43,4.73083242,0.29791259,uz,uz,7.1895973
Akr7a5,1.21,7.04933812,0.61060584,uz,uz,15.1710091
Akt1,0.46,1.25335247,0.17454851,uz,uz,3.74083463
Akt3,0.06,13.84563379,0.03750504,uz,uz,21.42728209
Alas1,1.58,5.20979078,0.66479271,uz,uz,13.96779028
Aldh16a1,1.24,2.51062615,0.42308472,uz,uz,8.59494083
Aldh18a1,3.41,0.9541377000000001,0.39934309,b,b,11.55950965
Aldh1a3,0.16,4.82375405,0.05278237,uz,uz,14.79835879
Aldh1b1,0.61,5.59546272,0.5091958,uz,uz,7.26705841
Aldh2,3.55,307.02357067,2.28950578,unz,unz,479.85718658
Aldh3a1,0.15,23.618689,0.13586684,uz,uz,26.28021538
Aldh3a2,0.74,0.63433651,0.23381146,b,uz,2.75634943
Aldh7a1,4.91,3.88011933,1.52900696,unz,unz,17.37401907
Aldh9a1,2.08,2.59890415,0.73047039,uz,uz,9.47114585
Aldoa,38.74,3.26430101,2.37511973,unz,unz,91.97320148
Alg1,0.51,1.82362702,0.49676961,uz,uz,2.36455643
Alg13,16.66,4.82493694,3.75314467,unz,unz,38.08843737
Alg14,0.67,3.59275025,0.74042677,uz,uz,3.92355336
Alg2,0.52,3.19048098,0.24045317,uz,uz,7.35826423
Alg3,1.15,2.2664875,0.34001133,uz,uz,8.79800375
Alg6,0.99,75.9878046,0.50089387,uz,uz,150.91074033
Alkbh2,1.76,227.77450362,1.3287078,unz,uz,304.00193704
Alkbh3,0.72,4.80692255,0.55637696,uz,uz,6.97856002
Alkbh6,1.91,0.52546985,0.35848544,b,uz,4.70534604
Alox5,0.06,13.8830332,0.0262375206,uz,uz,33.401899900000004
Alpl,4.29,1.46408935,1.76140984,unz,unz,7.84694868
Als2,0.47,19.67564119,0.41604946,uz,uz,22.58931639
Als2cl,0.2,1.17098137,0.08667346,uz,uz,2.93979701
Amacr,0.93,1.33798134,0.48197473,uz,uz,3.50786698
Ambra1,0.52,15.83286884,0.30103799,uz,uz,27.75494053
Amdhd2,5.24,0.68461279,0.58774716,b,b,11.34264509
Amotl1,0.58,42.5207411,0.3637758,uz,uz,68.93914978
Ampd2,0.98,1.35208981,0.51869622,uz,uz,3.53034524
Amph,0.24,0.35747461,0.04190605,b,uz,2.32952797
Amz1,0.03,16.21915193,0.02882135,uz,uz,18.08351653
Amz2,1.02,1.22623751,0.25106725,uz,uz,6.02633275
Anapc16,2.17,3.47645771,0.44128746,uz,uz,19.30829736
Anapc2,2.72,1.21073384,0.91002238,uz,uz,6.32969124
Anapc4,1.65,31.52332552,1.25710675,unz,uz,43.15194675
Anapc5,7.32,7.81692267,2.29757304,unz,unz,32.24388326
Anapc7,3.84,0.2804275,0.24976746,b,b,8.14223336
Angel1,0.16,15.58306667,0.07837546,uz,uz,31.86274034
Angptl2,0.03,8.20603728,0.00567597495,uz,uz,44.9433081
Angptl6,0.27,11.68961943,0.18612189,uz,uz,17.22562244
Ank3,0.93,237.9823281,0.79598318,uz,uz,279.24292893
Ankfy1,0.04,19.8825093,0.0159347604,uz,uz,47.063367
Ankhd1,4.93,1.25035903,0.76167598,uz,uz,13.0326887
Ankib1,0.51,0.93494572,0.09634513,b,uz,5.48557954
Ankra2,0.89,0.09828943,0.04516064,b,uz,2.83877793
Ankrd10,2.9,0.58608284,0.44932347,b,uz,6.68648847
Ankrd11,7.5,1.5483566,0.98721477,uz,uz,19.262407800000002
Ankrd12,1.51,1.94825766,0.32182558,uz,uz,10.63664132
Ankrd17,5.12,4.39929856,1.39951659,unz,unz,21.23112954
Ankrd24,0.77,1.52687989,0.13478076,uz,uz,9.50994473
Ankrd26,0.85,1.0978478999999999,0.27336579,uz,uz,4.26557989
Ankrd27,1.7,0.44151450000000003,0.44339982,b,uz,3.38874936
Ankrd28,0.85,1.48683143,0.48554919,uz,uz,3.45115211
